PERIL_ID,COVERAGE_TYPE,LON1,LAT1,LON2,LAT2,LON3,LAT3,LON4,LAT4,AREA_PERIL_ID
WTC,2,-0.86305291,52.78859189,-0.86305291,52.7946584,-0.8569863999999999,52.78859189,-0.8569863999999999,52.7946584,100
WTC,1,-0.86305291,52.78859189,-0.86305291,52.7946584,-0.8569863999999999,52.78859189,-0.8569863999999999,52.7946584,120
WSS,2,-0.86305291,52.78859189,-0.86305291,52.7946584,-0.8569863999999999,52.78859189,-0.8569863999999999,52.7946584,157
WSS,1,-0.86305291,52.78859189,-0.86305291,52.7946584,-0.8569863999999999,52.78859189,-0.8569863999999999,52.7946584,8
WTC,2,-0.86305291,52.78252538,-0.86305291,52.78859189,-0.8569863999999999,52.78252538,-0.8569863999999999,52.78859189,90
WTC,1,-0.86305291,52.78252538,-0.86305291,52.78859189,-0.8569863999999999,52.78252538,-0.8569863999999999,52.78859189,190
WSS,2,-0.86305291,52.78252538,-0.86305291,52.78859189,-0.8569863999999999,52.78252538,-0.8569863999999999,52.78859189,171
WSS,1,-0.86305291,52.78252538,-0.86305291,52.78859189,-0.8569863999999999,52.78252538,-0.8569863999999999,52.78859189,62
WTC,2,-0.86305291,52.77645887,-0.86305291,52.78252538,-0.8569863999999999,52.77645887,-0.8569863999999999,52.78252538,80
WTC,1,-0.86305291,52.77645887,-0.86305291,52.78252538,-0.8569863999999999,52.77645887,-0.8569863999999999,52.78252538,104
WSS,2,-0.86305291,52.77645887,-0.86305291,52.78252538,-0.8569863999999999,52.77645887,-0.8569863999999999,52.78252538,141
WSS,1,-0.86305291,52.77645887,-0.86305291,52.78252538,-0.8569863999999999,52.77645887,-0.8569863999999999,52.78252538,82
WTC,2,-0.86305291,52.77039236,-0.86305291,52.77645887,-0.8569863999999999,52.77039236,-0.8569863999999999,52.77645887,70
WTC,1,-0.86305291,52.77039236,-0.86305291,52.77645887,-0.8569863999999999,52.77039236,-0.8569863999999999,52.77645887,167
WSS,2,-0.86305291,52.77039236,-0.86305291,52.77645887,-0.8569863999999999,52.77039236,-0.8569863999999999,52.77645887,189
