PERIL_ID,COVERAGE_TYPE,LON1,LAT1,LON2,LAT2,LON3,LAT3,LON4,LAT4,AREA_PERIL_ID
WTC,3,-0.86305291,52.78859189,-0.86305291,52.7946584,-0.8569863999999999,52.78859189,-0.8569863999999999,52.7946584,168
WTC,1,-0.86305291,52.78859189,-0.86305291,52.7946584,-0.8569863999999999,52.78859189,-0.8569863999999999,52.7946584,34
WSS,3,-0.86305291,52.78859189,-0.86305291,52.7946584,-0.8569863999999999,52.78859189,-0.8569863999999999,52.7946584,168
WSS,1,-0.86305291,52.78859189,-0.86305291,52.7946584,-0.8569863999999999,52.78859189,-0.8569863999999999,52.7946584,1
WTC,3,-0.86305291,52.78252538,-0.86305291,52.78859189,-0.8569863999999999,52.78252538,-0.8569863999999999,52.78859189,168
WTC,1,-0.86305291,52.78252538,-0.86305291,52.78859189,-0.8569863999999999,52.78252538,-0.8569863999999999,52.78859189,1
WSS,3,-0.86305291,52.78252538,-0.86305291,52.78859189,-0.8569863999999999,52.78252538,-0.8569863999999999,52.78859189,199
WSS,1,-0.86305291,52.78252538,-0.86305291,52.78859189,-0.8569863999999999,52.78252538,-0.8569863999999999,52.78859189,41
WTC,3,-0.86305291,52.77645887,-0.86305291,52.78252538,-0.8569863999999999,52.77645887,-0.8569863999999999,52.78252538,199
WTC,1,-0.86305291,52.77645887,-0.86305291,52.78252538,-0.8569863999999999,52.77645887,-0.8569863999999999,52.78252538,48
WSS,3,-0.86305291,52.77645887,-0.86305291,52.78252538,-0.8569863999999999,52.77645887,-0.8569863999999999,52.78252538,199
WSS,1,-0.86305291,52.77645887,-0.86305291,52.78252538,-0.8569863999999999,52.77645887,-0.8569863999999999,52.78252538,1
WTC,3,-0.86305291,52.77039236,-0.86305291,52.77645887,-0.8569863999999999,52.77039236,-0.8569863999999999,52.77645887,199
WTC,1,-0.86305291,52.77039236,-0.86305291,52.77645887,-0.8569863999999999,52.77039236,-0.8569863999999999,52.77645887,41
WSS,3,-0.86305291,52.77039236,-0.86305291,52.77645887,-0.8569863999999999,52.77039236,-0.8569863999999999,52.77645887,199
WSS,1,-0.86305291,52.77039236,-0.86305291,52.77645887,-0.8569863999999999,52.77039236,-0.8569863999999999,52.77645887,34
WTC,3,-0.86305291,52.76432585,-0.86305291,52.77039236,-0.8569863999999999,52.76432585,-0.8569863999999999,52.77039236,199
WTC,1,-0.86305291,52.76432585,-0.86305291,52.77039236,-0.8569863999999999,52.76432585,-0.8569863999999999,52.77039236,30
WSS,3,-0.86305291,52.76432585,-0.86305291,52.77039236,-0.8569863999999999,52.76432585,-0.8569863999999999,52.77039236,199
WSS,1,-0.86305291,52.76432585,-0.86305291,52.77039236,-0.8569863999999999,52.76432585,-0.8569863999999999,52.77039236,30
WTC,3,-0.86305291,52.75825934,-0.86305291,52.76432585,-0.8569863999999999,52.75825934,-0.8569863999999999,52.76432585,199
WTC,1,-0.86305291,52.75825934,-0.86305291,52.76432585,-0.8569863999999999,52.75825934,-0.8569863999999999,52.76432585,30
WSS,3,-0.86305291,52.75825934,-0.86305291,52.76432585,-0.8569863999999999,52.75825934,-0.8569863999999999,52.76432585,120
WSS,1,-0.86305291,52.75825934,-0.86305291,52.76432585,-0.8569863999999999,52.75825934,-0.8569863999999999,52.76432585,30
WTC,3,-0.86305291,52.75219283,-0.86305291,52.75825934,-0.8569863999999999,52.75219283,-0.8569863999999999,52.75825934,120
WTC,1,-0.86305291,52.75219283,-0.86305291,52.75825934,-0.8569863999999999,52.75219283,-0.8569863999999999,52.75825934,30
WSS,3,-0.86305291,52.75219283,-0.86305291,52.75825934,-0.8569863999999999,52.75219283,-0.8569863999999999,52.75825934,189
WSS,1,-0.86305291,52.75219283,-0.86305291,52.75825934,-0.8569863999999999,52.75219283,-0.8569863999999999,52.75825934,34
WTC,3,-0.86305291,52.74612632,-0.86305291,52.75219283,-0.8569863999999999,52.74612632,-0.8569863999999999,52.75219283,168
WTC,1,-0.86305291,52.74612632,-0.86305291,52.75219283,-0.8569863999999999,52.74612632,-0.8569863999999999,52.75219283,41
WSS,3,-0.86305291,52.74612632,-0.86305291,52.75219283,-0.8569863999999999,52.74612632,-0.8569863999999999,52.75219283,142
WSS,1,-0.86305291,52.74612632,-0.86305291,52.75219283,-0.8569863999999999,52.74612632,-0.8569863999999999,52.75219283,67
WTC,3,-0.86305291,52.74005981,-0.86305291,52.74612632,-0.8569863999999999,52.74005981,-0.8569863999999999,52.74612632,168
